No.,Time,Source,Destination,Protocol,Length,Rank,RPLInstanceID,DODAGID,Info
1,0,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
2,0.003,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
3,0.004,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
4,0.005,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
5,0.011,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
6,0.012,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
7,0.012,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
8,0.114,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
9,0.116,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
10,0.121,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
11,0.122,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
12,0.122,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
13,0.125,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
14,0.128,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
15,0.129,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
16,0.13,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
17,0.131,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
18,0.138,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
19,0.138,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
20,0.139,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
21,0.14,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
22,0.141,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
23,0.141,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
24,0.142,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
25,0.143,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
26,0.144,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
27,0.149,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
28,0.151,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
29,0.152,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
30,0.153,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
31,0.153,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
32,0.155,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
33,0.165,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
34,0.165,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
35,0.166,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
36,0.167,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
37,0.168,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
38,0.169,fe80::212:7406:6:606,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
39,0.301,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
40,0.302,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
41,0.302,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
42,0.303,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
43,0.305,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
44,0.306,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
45,0.306,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
46,0.311,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
47,0.312,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
48,0.314,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
49,0.314,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
50,0.315,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
51,0.316,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
52,0.421,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
53,0.422,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
54,0.423,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
55,0.423,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
56,0.425,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
57,0.426,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
58,0.426,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
59,0.431,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
60,0.433,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
61,0.433,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
62,0.434,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
63,0.435,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
64,0.435,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
65,0.436,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
66,0.436,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
67,0.437,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
68,0.437,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
69,0.438,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
70,0.438,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
71,0.439,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
72,0.445,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
73,0.446,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
74,0.446,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
75,0.447,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
76,0.447,fe80::212:7405:5:505,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
77,0.448,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
78,0.448,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
79,0.449,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
80,0.449,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
81,0.45,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
82,0.454,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
83,0.454,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
84,0.455,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
85,0.456,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
86,0.456,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
87,0.456,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
88,0.457,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
89,0.462,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
90,0.462,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
91,0.463,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
92,0.463,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
93,0.464,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
94,0.464,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
95,0.464,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
96,0.465,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
97,0.466,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
98,0.466,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
99,0.467,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
100,0.467,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
101,0.467,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
102,0.468,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
103,0.478,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
104,0.478,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
105,0.479,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
106,0.479,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
107,0.479,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
108,0.577,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
109,0.578,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
110,0.578,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
111,0.579,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
112,0.579,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
113,0.583,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
114,0.584,fe80::212:7402:2:202,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
115,0.585,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
116,0.585,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
117,0.586,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
118,0.659,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
119,0.66,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
120,0.66,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
121,0.662,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
122,0.662,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
123,0.663,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
124,0.663,fe80::212:740d:d:d0d,ff02::1a,ICMPv6,64,,,,RPL Control (DODAG Information Solicitation)
