No.,Time,Source,Destination,Protocol,Length,Rank,Info
1,0,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
2,0.002,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
3,0.003,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
4,0.025,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
5,0.025,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
6,0.028,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
7,0.029,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
8,0.049,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
9,0.05,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
10,0.05,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
11,0.072,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
12,0.073,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
13,0.076,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
14,0.076,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
15,0.123,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
16,0.126,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
17,0.127,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
18,0.17,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
19,0.171,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
20,0.171,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
21,0.172,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
22,0.173,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
23,0.175,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
24,0.175,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
25,0.176,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
26,0.176,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
27,0.177,fe80::212:7409:9:909,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
28,0.178,fe80::212:7410:10:1010,ff02::1a,ICMPv6,64,,RPL Control (DODAG Information Solicitation)
